doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.1111/plb.70036,2025,Dual Polarimetric Radar Vegetation Index for monitoring forest moisture stress using time series of Sentinel‐1 SAR data,Plant biology,RQ3,monthly median deviations of a dual polarimetric radar vegetation index,Sentinel-1 SAR,drought,temperate broadleaf deciduous forest,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,First use of DpRVI for drought effects in forests per the abstract. Abiotic agent only.
10.3390/rs17050796,2025,Aboveground Biomass and Tree Mortality Revealed Through Multi-Scale LiDAR Analysis,Remote Sensing,RQ3,"comparison of GEDI-simulated waveforms, UAV grid metrics and individual tree detection for AGB and mortality","airborne lidar, UAV lidar, GEDI simulation",not stated,North American temperate forest,grid and individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,Mortality prediction from structure with no agent label.
10.3390/rs17243930,2025,Spatial Diffusion Characteristics of Pine Wilt Disease at the Forest Stand Scale and Prediction of Individual Tree Mortality Risk,Remote Sensing,RQ3,spatiotemporal diffusion reconstruction and tree-level mortality risk model,"UAV multispectral (23 phases), airborne lidar, field survey",pine wilt disease,"pine, Qingyuan County China",individual tree and stand,not stated in abstract,no,not stated in abstract,"50% of transmission events within 17.2 m, spatial autocorrelation range about 28 m","Single agent. Lidar supports stand structure, not agent identification."
10.3390/drones9080529,2025,Multi-Dimensional Estimation of Leaf Loss Rate from Larch Caterpillar Under Insect Pest Stress Using UAV-Based Multi-Source Remote Sensing,Drones,RQ3,recursive feature elimination then random forest regression and CNN regression for leaf loss rate,"UAV hyperspectral, UAV lidar",larch caterpillar,larch,tree crown and unit area,not stated in abstract,no,not stated in abstract,not stated in abstract,Lidar indices contribute to severity estimation for one insect agent.
10.1002/ldr.5623,2025,"The Mapping and Analysis of the Infrequent, Large‐Scale Blowdown Event in the Colorado Front Range",Land Degradation &amp; Development,RQ2,"change vector analysis of pre and post-event imagery, tunable thresholds",Sentinel-2,wind blowdown,"Colorado Front Range forest, species not stated",pixel,compared against Global Forest Change data,no,true positive versus false positive rates,not stated in abstract,Single agent mapping with a tunable error trade-off.
10.5194/isprs-archives-xlviii-2-w11-2025-133-2025,2025,Differentiating Acute and Chronic Stress in Norway Spruce using Hyperspectral and Thermal Remote Sensing in Experimental Plots,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",RQ2;RQ3,"experimental plots with edge exposure and roofing, spectral and thermal comparison",UAV and aircraft hyperspectral and thermal,acute thermal stress versus chronic drought stress,Picea abies,plot and crown,"experimental controls, no classifier accuracy reported",no,not stated in abstract,not stated in abstract,"Close analogue in structure of the problem: two stressors separated on one host. Both stressors are abiotic, so it does not refute the two-insect claim."
10.1016/j.jenvman.2025.127837,2025,Understanding defoliation of Pinus plantations in the Mediterranean mountains using tree segmentation and ALS time series.,Journal of Environmental Management,RQ2;RQ3,"tree segmentation, height and defoliation from ALS time series using kNN, random forest and neural networks","airborne laser scanning, 2008, 2013, 2018","drought and pest outbreak, described as climatic-driven defoliation","Pinus sylvestris, Pinus nigra plantation",tree and pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Structure used to grade defoliation severity. Agents are not separated.
10.48538/lpb-2025-0008,2025,Detekcja pojedynczych martwych świerków w Puszczy Białowieskiej na podstawie integracji danych satelitarnych z danymi lotniczego skanowania laserowego,Leśne Prace Badawcze,RQ3,integration of satellite imagery with airborne laser scanning to detect individual dead trees,"satellite imagery, airborne laser scanning",Ips typographus,Picea abies,individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Polish-language paper, Bialowieza Forest. Single agent."
10.1186/s42408-025-00420-0,2025,Terrestrial lidar scanning provides efficient measurements of fire-caused crown scorch in longleaf pine,Fire Ecology,RQ3,"prediction of crown scorch from terrestrial lidar return intensity, 253 trees",terrestrial laser scanning,fire,longleaf pine (Pinus palustris),individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Lidar intensity as a proxy for crown injury, single agent."
10.1007/s10980-025-02264-0,2025,Severely disturbed forests in Central Europe retain robust recovery capacity but face resilience loss due to spatial homogenization,Landscape Ecology,RQ3,integration of optical and SAR with UAV imagery and vegetation height models to map disturbance and recovery,"optical satellite, SAR, UAV imagery, vegetation height models",spruce bark beetle outbreak and salvage logging,"Picea abies, Czech Republic","landscape, 9000 km2",not stated in abstract,no,proportion disturbed,30.8% of initial forest area disturbed 2018 to 2024,"Beetle and salvage logging are treated as a compound sequence, not separated as competing agents."
10.3389/fpls.2025.1664466,2025,Early detection of Dendrolimus species infestations: integrating UAV hyperspectral and LiDAR data,Frontiers in Plant Science,RQ3,"SPA, ISIC and ISIC-SPA feature selection with random forest on combined hyperspectral and lidar features","UAV hyperspectral, UAV lidar",Dendrolimus species,"pine, China",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Explicitly argues canopy structure is underexplored for early detection and adds lidar to spectra. Detection of infestation stage, not discrimination between Dendrolimus species. Flagged for full-text check."
10.1007/s10980-025-02288-6,2025,"Canopy height and its spatial heterogeneity predominantly determine damages to tropical forests by major hurricanes, with a mitigating legacy effect of drought",Landscape Ecology,RQ3,spatial error models of canopy height reduction on pre-hurricane canopy properties,two airborne lidar campaigns,"hurricane, with drought legacy",Puerto Rico tropical forest,landscape pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Structure predicts damage severity from one agent.
10.1109/igarss55030.2025.11243941,2025,"Detection of the sharp-toothed bark-beetle infection using UAV multispectral and LiDAR data in Scots pine forest of Kampinoski National Park, Poland",IEEE International Geoscience and Remote Sensing Symposium,RQ3,"UAV lidar to isolate the crown layer, vegetation indices, random forest classification","UAV multispectral, UAV lidar","sharp-toothed bark beetle (Ips acuminatus, described as Xylophagos beetle)",Pinus sylvestris,individual tree crown,not stated in abstract,no,detection accuracy,exceeding 95% for healthy versus infested,"Lidar used to delimit crowns; discrimination is spectral. Two-class healthy versus infested, one agent."
10.3897/aca.8.e156849,2025,Single tree health monitoring using uav-based lidar data,ARPHA Conference Abstracts,RQ3,UAV lidar metrics for tree health status,UAV lidar,not stated,not stated,individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Conference abstract only. Structure-only health assessment, no agent."
10.1002/ecy.70261,2025,Unprecedented tropical cyclone in temperate-boreal ecotone drives declines in emergent conifers and canopy complexity.,Ecology,RQ2,analysis of fallen tree dimensions from drone orthophotographs across four sites,drone orthophotography,tropical cyclone (Maysak 2020),"Abies holophylla, Pinus koraiensis and broadleaves",individual fallen tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"Single agent, species-differential vulnerability."
10.1109/igarss55030.2025.11243121,2025,Measuring Changes in Forest Carbon Stocks using an IPCC-Compliant Method with a Competition-Index-Based Volumetric Model and Multi-temporal Airborne Laser Scanning Data,IEEE International Geoscience and Remote Sensing Symposium,RQ3,IPCC-compliant carbon stock estimation with a competition-index volumetric model on multitemporal ALS,"airborne laser scanning, orthoimages","wildfire, landslide, pests and diseases",not stated,tree and stand,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structure quantifies carbon consequence of disturbance, agents not separated."
10.1080/02827581.2025.2563602,2025,Using airborne LiDAR to quantify changes in forest structure following an ice storm disturbance and subsequent salvage logging,Scandinavian Journal of Forest Research,RQ3,"leaf area density profiles and voxel-based biomass loss from multitemporal high-density ALS, validated against field data",airborne laser scanning,ice storm and subsequent salvage logging,"Picea abies, Abies alba, Fagus sylvatica",stand,field data as reference,no,not stated in abstract,not stated in abstract,"Two disturbance types quantified, but they are abiotic damage and harvest, and they differ in timing and pattern."
10.3390/drones9110756,2025,Effectiveness of Unmanned Aerial Vehicle-Based LiDAR for Assessing the Impact of Catastrophic Windstorm Events on Timberland,Drones,RQ3,"random forest, maximum likelihood and decision tree classification of windstorm damage with and without a lidar canopy height model","UAV lidar, UAV RGB","windstorm, hurricanes and tornadoes","pine-dominated stands, southeastern USA","stand, ten stands of 10 to 20 acres",not stated in abstract,no,overall accuracy and kappa,RF 94.52% k 0.92; ML 89.52% k 0.85; DT 81.78% k 0.75,Directly quantifies the gain from adding a lidar canopy height model to imagery for damage classification. Single agent class.
10.3390/geographies5030030,2025,Quantifying Forest Structural and Functional Responses to Fire Severity Using Multi-Source Remotely Sensed Data,Geographies,RQ3,correlation and LOESS regression of structural change against burn severity indices,"pre and post-fire airborne lidar, Landsat dNBR",wildfire (2020 Bighorn Fire),Santa Catalina Mountains vegetation types,"12,500 ha landscape",not stated in abstract,no,not stated in abstract,not stated in abstract,Lidar structure related to a spectral severity index for one agent.
10.1073/pnas.2310157121,2024,A large net carbon loss attributed to anthropogenic and natural disturbances in the Amazon Arc of Deforestation,Proceedings of the National Academy of Sciences of the United States of America,RQ2;RQ3,"partitioning of aboveground carbon loss between clearing, logging and fire using airborne laser scanning",airborne laser scanning,"logging, fire, clearing, natural disturbance",Amazon forest,"surveyed area, landscape",not stated in abstract,no,area affected and net carbon flux,degradation 3.5% of surveyed area versus 0.7% cleared; net loss -90.5 +/- 16.6 Tg C per year 2016 to 2018,"Partitions loss between anthropogenic and natural causes. Agents are logging, fire and clearing, not insects."
10.1111/1365-2745.14320,2024,Gap expansion is the dominant driver of canopy openings in a temperate mountain forest landscape,Journal of Ecology,RQ3,"canopy height change analysis at 1 m resolution across three repeat lidar acquisitions, 11,331 gaps","airborne lidar, 2009 to 2021","natural disturbance, tree mortality","temperate mountain forest, Berchtesgaden","1 m pixel, gap object",not stated in abstract,no,not stated in abstract,not stated in abstract,Repeat lidar for gap dynamics. No agent labels.
10.1016/j.jenvman.2024.121659,2024,Mapping the natural disturbance risk to protective forests across the European Alps.,Journal of Environmental Management,RQ2;RQ3,"ensemble models combining satellite disturbance history with spaceborne lidar structure to map hazard, exposure and vulnerability","Landsat-based disturbance maps 1986 to 2020, GEDI spaceborne lidar","windthrow, bark beetle outbreak, forest fire",European Alps protective forest,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Uses lidar structure alongside three named agents, but for risk mapping, not for deciding which agent caused an observed damage patch."
10.3390/rs16132319,2024,Post-Logging Canopy Gap Dynamics and Forest Regeneration Assessed Using Airborne LiDAR Time Series in the Brazilian Amazon with Attribution to Gap Types and Origins,Remote Sensing,RQ2;RQ3,airborne lidar time series gap detection with attribution of gaps to types and origins,multitemporal airborne lidar,selective logging and natural gap formation,Brazilian Amazon rainforest,gap object,not stated in abstract,no,not stated in abstract,not stated in abstract,"Attribution of gaps to origin using lidar structure alone. Origins are logging versus natural, not two insects."
10.3390/f15010191,2024,Identification of Larch Caterpillar Infestation Severity Based on Unmanned Aerial Vehicle Multispectral and LiDAR Features,Forests,RQ3,ANOVA feature selection then random forest and support vector machine severity classification,"UAV multispectral, UAV lidar, ground measurements",Dendrolimus superans (larch caterpillar),larch,not stated,not stated in abstract,no,"not stated in abstract, feature importance reported",NDGI and the 25% height percentile were the most sensitive features,"A lidar height percentile is among the two most sensitive features for insect damage severity. Single agent, severity grading."
10.1109/jstars.2024.3429012,2024,Submonthly Assessment of Temperate Forest Clear-Cuts in Mainland France,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,RQ3,radar change ratio adapted from a tropical near real-time forest loss method,Sentinel-1 SAR,clear-cut harvest,French temperate broadleaf and conifer forest,"plot, 967 validation plots","967 validation plots, independent",no,recall and precision,"recall 80.9%, precision 99.4%","Radar detects harvest, an agent with a sharp and complete canopy signal."
10.1111/gcb.17493,2024,Tall Bornean forests experience higher canopy disturbance rates than those in the eastern Amazon or Guiana shield,Global Change Biology,RQ3,framework for disturbance and recovery analysis in lidar time series at 1 m resolution,airborne lidar time series,"canopy disturbance, agent not identified","old-growth tropical forest, Borneo, Amazon, Guiana shield",1 m pixel over 8000 ha,not stated in abstract,no,not stated in abstract,not stated in abstract,"Structure-only disturbance rates, no agent attribution."
10.1080/15481603.2024.2379198,2024,Mapping recent timber harvest activity in a temperate forest using single date airborne LiDAR surveys and machine learning: lessons for conservation planning,GIScience &amp; Remote Sensing,RQ3,XGBoost on single-campaign airborne lidar to map recent harvest,single-date airborne lidar,"timber harvest, including shelterwood, overstory removal and clearcut",Pennsylvania temperate forest,not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Single-date structure distinguishes harvest intensity classes. The classes are harvest types, not agents."
10.1093/forestry/cpae029,2024,Evaluating the potential for continuous update of enhanced forest inventory attributes using optical satellite data,Forestry: An International Journal of Forest Research,RQ2,optical time series used to update an ALS-derived enhanced forest inventory at two-week intervals,"optical satellite time series, airborne laser scanning","forest disturbance, general","Ontario forest management unit, ~690,000 ha",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,Inventory updating rather than agent attribution.
10.3390/f15071114,2024,Predictive Model for Bark Beetle Outbreaks in European Forests,Forests,RQ2,random forest regression and comparison of machine learning architectures for outbreak probability,"environmental and climatic predictors, remote sensing derived",bark beetle,"European forest, species not stated",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,Risk prediction for one agent.
10.1109/jstars.2024.3361183,2024,Forest Disturbance Detection via Self-Supervised and Transfer Learning With Sentinel-1&2 Images,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,RQ3,self-supervised knowledge distillation with transfer learning and deep change vector analysis,"Sentinel-1 SAR, Sentinel-2",windthrow and snowload damage,"forest, species not stated",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Two abiotic agents handled as two separate use cases, not as competing classes in one classifier."
10.3390/rs16091553,2024,Sensitivity of Sentinel-1 Backscatter to Management-Related Disturbances in Temperate Forests,Remote Sensing,RQ3,analysis of dense C-band backscatter against experimentally imposed disturbance intensities at 14 sites,Sentinel-1 SAR,"management-related tree removal, experimentally imposed",Netherlands temperate forest,pixel,14 experimental sites with controlled removal levels,no,not stated in abstract,not stated in abstract,Rare experimental control on disturbance intensity for a radar sensitivity study.
10.1007/s10844-024-00877-6,2024,DIAMANTE: A data-centric semantic segmentation approach to map tree dieback induced by bark beetle infestations via satellite images,Journal of Intelligence and Information Systems,RQ3,data-centric semantic segmentation of tree dieback,Sentinel satellite imagery,bark beetle,not stated,pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Single agent segmentation.
10.3390/rs16101805,2024,Remote Sensing of Forests in Bavaria: A Review,Remote Sensing,RQ2,"systematic literature review, 146 articles 2008 to 2023",multiple (review),drought and subsequent insect infestation,Bavarian forest,not applicable,"not applicable, review",no,not applicable,not applicable,"Notes that 88 of 146 studies were in the Bavarian Forest National Park, a concentration worth citing on generalisability."
10.1002/rse2.420,2024,Early spectral dynamics are indicative of distinct growth patterns in post‐wildfire forests,Remote Sensing in Ecology and Conservation,RQ3,space-for-time substitution linking early post-fire spectral dynamics to RPAS lidar structure,"RPAS lidar, optical satellite time series",wildfire,western North American forest,not stated,space-for-time substitution,no,not stated in abstract,not stated in abstract,Links spectral trajectory to structural outcome for one agent.
10.3390/rs16244710,2024,Mapping Windthrow Severity as Change in Canopy Cover in a Temperate Eucalypt Forest,Remote Sensing,RQ3,"training on 455 plots of aerial-image canopy cover, mapping percentage canopy cover change","high-resolution aerial imagery, satellite",windthrow from severe windstorm,"temperate eucalypt forest, south-eastern Australia","plot, 455 randomly selected",randomly selected plots in disturbed and undisturbed areas,no,not stated in abstract,not stated in abstract,"Severity as canopy cover change, single agent."
10.3390/rs16132299,2024,EWMACD Algorithm in Early Detection of Defoliation Caused by Dendrolimus tabulaeformis Tsai et Liu,Remote Sensing,RQ3,EWMACD change detection on fused Sentinel-2 and downscaled Landsat-8 time series,"Sentinel-2, Landsat-8 downscaled to 10 m by deep learning",Dendrolimus tabulaeformis,pine,10 m pixel,not stated in abstract,no,not stated in abstract,not stated in abstract,Early detection of one defoliator.
10.3390/drones8030075,2024,Canopy Structural Changes in Black Pine Trees Affected by Pine Processionary Moth Using Drone-Derived Data,Drones,RQ2;RQ3,"bitemporal high-density drone lidar, manual crown delineation compared with lidar methods, parametric statistics on canopy metrics",drone lidar,pine processionary moth (Thaumetopoea pityocampa),"Pinus nigra, 33 individuals",individual tree,not stated in abstract,no,not stated in abstract,not stated in abstract,"One of the few studies that measures canopy structural change caused by an insect defoliator directly from lidar. Contrasts defoliated with non-defoliated trees of one host, but only one insect agent is present."
10.1080/01431161.2024.2320180,2024,Feasibility study of forest wood-boring pest detection base on hyperspectral LiDAR,International Journal of Remote Sensing,RQ3,hyperspectral lidar echo intensity ratio then support vector machine on trunk bark,"hyperspectral lidar (AOTF-based), active",wood-boring pest,"tree trunks, species not stated",trunk surface patch,not stated in abstract,no,not stated in abstract,not stated in abstract,"Active lidar targeting the trunk rather than the canopy, aimed at detecting attack before defoliation. Single agent."
10.1109/igarss53475.2024.10641531,2024,Exploring the Detection of Bark Beetle Attacks in Norway Spruce Forests in Sentinel-1 Image Time Series,IEEE International Geoscience and Remote Sensing Symposium,RQ3,"analysis of VV and VH backscatter distributions before and after attack, automatic detection method",Sentinel-1 SAR time series 2019 to 2022,bark beetle,Norway spruce,polygon,tested on the same polygons used for reference,no,detection accuracy,above 65%,"Tested on the same polygons from which the reference was drawn, so the figure is close to resubstitution."
none,2024,Ant Nest Detection Using Underground P-Band TomoSAR,not stated,RQ3,electromagnetic simulation of nest signatures then drone-borne P-band tomographic SAR with a convolutional network,P-band drone-borne tomographic SAR,leaf-cutting ants,commercial eucalyptus plantation,subsurface nest object,not stated in abstract,no,not stated in abstract,not stated in abstract,"Radar detects the insect agent itself rather than its canopy damage, by imaging underground nests. Distinctive but single agent."
10.1080/19475705.2024.2401042,2024,Assessing the burn severity of wildfires by incorporating vegetation structure information,"Geomatics, Natural Hazards & Risk",RQ3,polarimetric decomposition features and PCA into a random forest predicting composite burn index,PolSAR,wildfire,"Jinyun Mountain, Chongqing",not stated,not stated in abstract,no,not stated in abstract,not stated in abstract,"Explicitly argues vegetation structure information is underused in severity assessment, and supplies it from polarimetry."
10.1080/01431161.2024.2433761,2024,Investigating the potential of ICEYE-SAR data in storm damage detection in a coniferous forest with rugged terrain,International Journal of Remote Sensing,RQ3,unsupervised change detection combining wavelet transform with adaptive thresholds at four spatial scales,ICEYE very high resolution SAR,storm damage (Storm Daniel),"fir forest, complex topography","0.5 m, 1 m, 2 m and coarser",not stated in abstract,no,not stated in abstract,not stated in abstract,"Very high resolution SAR for structural damage, single agent."
